,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed
53,16,1.0,108,0.03768920002039522,"[7, 3, 30, 21, 28, 4, 24, 12, 27, 14, 35, 15, 18, 31, 30, 34, 36, 39, 26, 25, 22, 20, 3, 39, 23, 37, 27, 1, 19, 23, 8, 32, 2, 10, 23, 13, 16, 25, 6, 13]",5,0.75,1024,1
54,32,0.0,133,0.04724119999445975,"[7, 3, 30, 21, 28, 4, 24, 12, 27, 14, 35, 15, 18, 12, 30, 34, 36, 39, 26, 25, 22, 20, 3, 38, 23, 37, 27, 31, 19, 23, 8, 32, 2, 10, 23, 13, 16, 25, 6, 13]",5,0.75,1024,1
55,64,0.0,133,0.04724119999445975,"[7, 3, 30, 21, 28, 4, 24, 12, 27, 14, 35, 15, 18, 12, 30, 34, 36, 39, 26, 25, 22, 20, 3, 38, 23, 37, 27, 31, 19, 23, 8, 32, 2, 10, 23, 13, 16, 25, 6, 13]",5,0.75,1024,1
56,128,0.0,133,0.04724119999445975,"[7, 3, 30, 21, 28, 4, 24, 12, 27, 14, 35, 15, 18, 12, 30, 34, 36, 39, 26, 25, 22, 20, 3, 38, 23, 37, 27, 31, 19, 23, 8, 32, 2, 10, 23, 13, 16, 25, 6, 13]",5,0.75,1024,1
57,256,0.0,133,0.04724119999445975,"[7, 3, 30, 21, 28, 4, 24, 12, 27, 14, 35, 15, 18, 12, 30, 34, 36, 39, 26, 25, 22, 20, 3, 38, 23, 37, 27, 31, 19, 23, 8, 32, 2, 10, 23, 13, 16, 25, 6, 13]",5,0.75,1024,1
58,512,0.0,133,0.04724119999445975,"[7, 3, 30, 21, 28, 4, 24, 12, 27, 14, 35, 15, 18, 12, 30, 34, 36, 39, 26, 25, 22, 20, 3, 38, 23, 37, 27, 31, 19, 23, 8, 32, 2, 10, 23, 13, 16, 25, 6, 13]",5,0.75,1024,1
59,1024,0.0,133,0.04724119999445975,"[7, 3, 30, 21, 28, 4, 24, 12, 27, 14, 35, 15, 18, 12, 30, 34, 36, 39, 26, 25, 22, 20, 3, 38, 23, 37, 27, 31, 19, 23, 8, 32, 2, 10, 23, 13, 16, 25, 6, 13]",5,0.75,1024,1
60,0,13.0,10,0.00254100002348423,"[37, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 6, 25, 20, 37, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24, 13, 8, 30]",10,0.05,1024,1
61,1,11.0,22,0.007722400012426078,"[7, 3, 6, 21, 3, 4, 24, 12, 26, 16, 18, 15, 0, 4, 25, 34, 23, 7, 26, 25, 22, 9, 3, 39, 23, 36, 27, 37, 19, 38, 8, 32, 34, 10, 23, 15, 23, 25, 7, 28]",10,0.05,1024,1
62,2,8.0,34,0.012942700006533414,"[17, 24, 0, 2, 24, 20, 38, 37, 21, 13, 27, 38, 22, 22, 16, 19, 9, 36, 10, 4, 23, 14, 21, 3, 30, 16, 20, 7, 15, 28, 15, 25, 28, 21, 34, 8, 17, 32, 0, 12]",10,0.05,1024,1
