,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed
6,32,2.0,38,0.0067823000135831535,"[10, 12, 2, 3, 8, 4, 0, 5, 13, 3, 1, 11, 9, 7, 10]",1,1024,0,3
7,64,2.0,70,0.010041700035799295,"[10, 12, 2, 3, 8, 4, 0, 5, 13, 3, 1, 11, 9, 7, 10]",1,1024,0,3
8,128,1.0,135,0.015929500048514456,"[10, 12, 2, 3, 8, 4, 0, 5, 13, 3, 1, 11, 9, 7, 14]",1,1024,0,3
9,256,0.0,165,0.01998260000254959,"[10, 12, 2, 6, 8, 4, 0, 5, 13, 3, 1, 11, 9, 7, 14]",1,1024,0,3
10,512,0.0,165,0.01998260000254959,"[10, 12, 2, 6, 8, 4, 0, 5, 13, 3, 1, 11, 9, 7, 14]",1,1024,0,3
11,1024,0.0,165,0.01998260000254959,"[10, 12, 2, 6, 8, 4, 0, 5, 13, 3, 1, 11, 9, 7, 14]",1,1024,0,3
0,0,6.0,0,0.00013729999773204327,"[10, 14, 7, 5, 1, 8, 7, 8, 2, 9, 10, 12, 7, 13, 14]",1,1024,0,4
1,1,6.0,1,0.0007870999979786575,"[10, 14, 7, 5, 1, 8, 7, 8, 2, 9, 10, 12, 7, 13, 14]",1,1024,0,4
2,2,6.0,2,0.001950700010638684,"[10, 14, 7, 5, 1, 8, 7, 8, 2, 9, 10, 12, 7, 13, 14]",1,1024,0,4
3,4,4.0,5,0.0029233000241219997,"[10, 14, 7, 5, 1, 8, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
4,8,4.0,9,0.004356199991889298,"[10, 14, 7, 5, 1, 8, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
5,16,4.0,17,0.00589690002379939,"[10, 14, 7, 5, 1, 8, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
6,32,3.0,34,0.0076781000243499875,"[10, 14, 3, 5, 1, 8, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
7,64,1.0,68,0.010495399998035282,"[10, 11, 3, 5, 1, 4, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
8,128,1.0,132,0.01661490002879873,"[10, 11, 3, 5, 1, 4, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
9,256,1.0,260,0.03263179998612031,"[10, 11, 3, 5, 1, 4, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
10,512,0.0,273,0.036565100017469376,"[0, 11, 3, 5, 1, 4, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
11,1024,0.0,273,0.036565100017469376,"[0, 11, 3, 5, 1, 4, 7, 8, 2, 9, 10, 12, 6, 13, 14]",1,1024,0,4
0,0,7.0,0,0.0001401000190526247,"[3, 14, 13, 6, 6, 0, 9, 8, 4, 7, 14, 11, 0, 14, 0]",1,1024,0,5
1,1,7.0,1,0.0008080999832600355,"[3, 14, 13, 6, 6, 0, 9, 8, 4, 7, 14, 11, 0, 14, 0]",1,1024,0,5
2,2,5.0,3,0.0015238000196404755,"[3, 5, 13, 6, 6, 0, 9, 8, 4, 7, 14, 11, 0, 14, 0]",1,1024,0,5
3,4,5.0,5,0.0022288000327534974,"[3, 5, 13, 6, 6, 0, 9, 8, 4, 7, 14, 11, 0, 14, 0]",1,1024,0,5
