,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
180,0,1.0,50,0.0005799999926239252,"[3, 4, 0, 1, 3]",50,0.05,1024,1,5
181,1,6.0,102,0.007647700025700033,"[4, 3, 3, 3, 3]",50,0.05,1024,1,5
182,2,6.0,153,0.014704599976539612,"[4, 3, 3, 3, 3]",50,0.05,1024,1,5
183,4,6.0,255,0.02309809997677803,"[4, 3, 3, 3, 3]",50,0.05,1024,1,5
184,8,10.0,460,0.039279500022530556,"[2, 2, 2, 2, 2]",50,0.05,1024,1,5
185,16,10.0,868,0.05617649992927909,"[2, 2, 2, 2, 2]",50,0.05,1024,1,5
186,32,10.0,1684,0.08654169994406402,"[2, 2, 2, 2, 2]",50,0.05,1024,1,5
187,64,10.0,3316,0.13902919995598495,"[2, 2, 2, 2, 2]",50,0.05,1024,1,5
188,128,10.0,6580,0.23934740002732724,"[2, 2, 2, 2, 2]",50,0.05,1024,1,5
189,256,10.0,10558,0.3643924000207335,"[2, 2, 2, 2, 2]",50,0.05,1024,1,5
190,512,10.0,10558,0.3643924000207335,"[2, 2, 2, 2, 2]",50,0.05,1024,1,5
191,1024,10.0,10558,0.3643924000207335,"[2, 2, 2, 2, 2]",50,0.05,1024,1,5
192,0,1.0,50,0.0005781999789178371,"[3, 4, 0, 1, 3]",50,0.1,1024,1,5
193,1,10.0,102,0.008655900019221008,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
194,2,10.0,153,0.01890110003296286,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
195,4,10.0,255,0.03567090001888573,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
196,8,10.0,459,0.046745399944484234,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
197,16,10.0,867,0.06765680003445596,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
198,32,10.0,1683,0.09616419998928905,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
199,64,10.0,3315,0.14711819996591657,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
200,128,10.0,6579,0.2654294000240043,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
201,256,10.0,10302,0.38563000003341585,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
202,512,10.0,10302,0.38563000003341585,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
203,1024,10.0,10302,0.38563000003341585,"[4, 4, 4, 4, 4]",50,0.1,1024,1,5
204,0,1.0,50,0.0007354000117629766,"[3, 4, 0, 1, 3]",50,0.2,1024,1,5
205,1,6.0,102,0.011259500053711236,"[2, 2, 2, 0, 2]",50,0.2,1024,1,5
206,2,6.0,153,0.02230419998522848,"[2, 2, 2, 0, 2]",50,0.2,1024,1,5
207,4,6.0,255,0.034884999971836805,"[2, 2, 2, 0, 2]",50,0.2,1024,1,5
208,8,10.0,460,0.05135830002836883,"[2, 2, 2, 2, 2]",50,0.2,1024,1,5
209,16,10.0,868,0.06903640006203204,"[2, 2, 2, 2, 2]",50,0.2,1024,1,5
210,32,10.0,1684,0.09771420003380626,"[2, 2, 2, 2, 2]",50,0.2,1024,1,5
211,64,10.0,3316,0.15376160002779216,"[2, 2, 2, 2, 2]",50,0.2,1024,1,5
212,128,10.0,6580,0.2552257999777794,"[2, 2, 2, 2, 2]",50,0.2,1024,1,5
213,256,10.0,10558,0.3845958000747487,"[2, 2, 2, 2, 2]",50,0.2,1024,1,5
214,512,10.0,10558,0.3845958000747487,"[2, 2, 2, 2, 2]",50,0.2,1024,1,5
215,1024,10.0,10558,0.3845958000747487,"[2, 2, 2, 2, 2]",50,0.2,1024,1,5
216,0,1.0,50,0.0013367000501602888,"[3, 4, 0, 1, 3]",50,0.5,1024,1,5
217,1,6.0,102,0.00839189998805523,"[0, 3, 3, 3, 3]",50,0.5,1024,1,5
218,2,10.0,154,0.014690599986352026,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
219,4,10.0,256,0.022689600009471178,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
220,8,10.0,460,0.032794800004921854,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
221,16,10.0,868,0.05187139997724444,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
222,32,10.0,1684,0.07941969996318221,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
223,64,10.0,3316,0.13466790004167706,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
224,128,10.0,6580,0.23953709995839745,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
225,256,10.0,10354,0.3715658000437543,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
226,512,10.0,10354,0.3715658000437543,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
227,1024,10.0,10354,0.3715658000437543,"[2, 2, 2, 2, 2]",50,0.5,1024,1,5
228,0,1.0,50,0.0005787999834865332,"[3, 4, 0, 1, 3]",50,0.75,1024,1,5
229,1,6.0,102,0.009511100011877716,"[4, 3, 3, 3, 3]",50,0.75,1024,1,5
230,2,6.0,153,0.0165513000683859,"[4, 3, 3, 3, 3]",50,0.75,1024,1,5
231,4,10.0,256,0.02606150007341057,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
232,8,10.0,460,0.04016289999708533,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
233,16,10.0,868,0.06009710009675473,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
234,32,10.0,1684,0.0945447999984026,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
235,64,10.0,3316,0.14855959999840707,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
236,128,10.0,6580,0.25796280009672046,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
237,256,10.0,10405,0.3867087000980973,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
238,512,10.0,10405,0.3867087000980973,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
239,1024,10.0,10405,0.3867087000980973,"[4, 4, 4, 4, 4]",50,0.75,1024,1,5
0,0,2.0,5,0.0001194999786093831,"[0, 0, 3, 2, 3]",5,0.05,1024,2,5
1,1,6.0,12,0.000982699915766716,"[4, 4, 4, 3, 4]",5,0.05,1024,2,5
2,2,6.0,18,0.0017946999287232757,"[4, 4, 4, 3, 4]",5,0.05,1024,2,5
3,4,6.0,30,0.002691800007596612,"[4, 4, 4, 3, 4]",5,0.05,1024,2,5
4,8,6.0,54,0.004202099982649088,"[4, 4, 4, 3, 4]",5,0.05,1024,2,5
5,16,6.0,102,0.006069900002330542,"[4, 4, 4, 3, 4]",5,0.05,1024,2,5
6,32,6.0,198,0.009750699973665178,"[4, 4, 4, 3, 4]",5,0.05,1024,2,5
7,64,6.0,390,0.01560109993442893,"[4, 4, 4, 3, 4]",5,0.05,1024,2,5
8,128,6.0,774,0.027824099990539253,"[4, 4, 4, 3, 4]",5,0.05,1024,2,5
9,256,10.0,1543,0.05345240002498031,"[4, 4, 4, 4, 4]",5,0.05,1024,2,5
