,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
176,128,17.0,4001,0.23236110003199428,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
177,256,17.0,7969,0.3678032000316307,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
178,512,17.0,15657,0.6403380000265315,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
179,1024,17.0,15657,0.6403380000265315,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
180,0,2.0,50,0.0013066999963484704,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",50,0.05,1024,1,10
181,1,15.0,102,0.016324599971994758,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
182,2,15.0,153,0.03426039998885244,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
183,4,17.0,257,0.05006219999631867,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
184,8,17.0,461,0.06737940001767129,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
185,16,17.0,869,0.08843980001984164,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
186,32,17.0,1685,0.12170730001525953,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
187,64,17.0,3317,0.19183059997158125,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
188,128,17.0,6581,0.29517429997213185,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
189,256,17.0,13109,0.5060600999859162,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
190,512,17.0,25757,0.9502175999805331,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
191,1024,17.0,25757,0.9502175999805331,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.05,1024,1,10
192,0,2.0,50,0.0005031999899074435,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",50,0.1,1024,1,10
193,1,16.0,102,0.015593399992212653,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",50,0.1,1024,1,10
194,2,16.0,153,0.02783030003774911,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",50,0.1,1024,1,10
195,4,17.0,256,0.047918700031004846,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
196,8,17.0,460,0.06361130002187565,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
197,16,17.0,868,0.08580970001639798,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
198,32,17.0,1684,0.11951230000704527,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
199,64,17.0,3316,0.17772630002582446,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
200,128,17.0,6580,0.27906490000896156,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
201,256,17.0,13108,0.5331446999916807,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
202,512,17.0,25756,0.9447941000107676,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
203,1024,17.0,25756,0.9447941000107676,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50,0.1,1024,1,10
204,0,2.0,50,0.0004697000258602202,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",50,0.2,1024,1,10
205,1,15.0,102,0.012585700023919344,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",50,0.2,1024,1,10
206,2,17.0,154,0.0255297000403516,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",50,0.2,1024,1,10
207,4,17.0,256,0.03982720000203699,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",50,0.2,1024,1,10
208,8,17.0,460,0.05886889999965206,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",50,0.2,1024,1,10
209,16,17.0,868,0.08465630002319813,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",50,0.2,1024,1,10
210,32,17.0,1684,0.11918869998771697,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",50,0.2,1024,1,10
211,64,17.0,3316,0.1757279000012204,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",50,0.2,1024,1,10
212,128,17.0,6580,0.29464869998628274,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",50,0.2,1024,1,10
