,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
131,1024,17.0,226,0.06616639999992913,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,5.0,0.99,0.001,4.996676132588251,5.0,1024,
132,0,2.0,0,7.109999569365755e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,5.0,,0.001,4.999998222500423,5.0,1024,0.005
133,1,0.0,2,0.007409699996060226,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,5.0,,0.001,4.999814760931534,5.0,1024,0.005
134,2,0.0,4,0.014379699998244178,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",exponential,5.0,,0.001,4.9996405204232195,5.0,1024,0.005
135,4,0.0,8,0.022815099997387733,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",exponential,5.0,,0.001,4.999429655031877,5.0,1024,0.005
136,8,0.0,16,0.030693199994857423,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",exponential,5.0,,0.001,4.99923272887665,5.0,1024,0.005
137,16,5.0,31,0.043119299996760674,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",exponential,5.0,,0.001,4.998922133696357,5.0,1024,0.005
138,32,2.0,63,0.05121389999840176,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",exponential,5.0,,0.001,4.99871981641502,5.0,1024,0.005
139,64,0.0,126,0.06078239999624202,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 1]",exponential,5.0,,0.001,4.998480670882963,5.0,1024,0.005
140,128,13.0,246,0.07153469999320805,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 0]",exponential,5.0,,0.001,4.998211952287874,5.0,1024,0.005
141,256,17.0,274,0.08260429999791086,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,5.0,,0.001,4.997935318908244,5.0,1024,0.005
142,512,17.0,274,0.08260429999791086,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,5.0,,0.001,4.997935318908244,5.0,1024,0.005
143,1024,17.0,274,0.08260429999791086,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,5.0,,0.001,4.997935318908244,5.0,1024,0.005
